TR,TF,TTS,CD,CR,CG,SNO,RCR
3,2,3,2,1,4.829928254173942,7,5
4,3,2,2,2,2.5359755566178355,7,1
2,5,2,3,2,4.758937520934483,9,4
3,2,4,3,4,2.5292947020302337,7,7
2,3,3,3,5,7.550552457506505,3,8
2,1,4,5,4,3.533353634125639,7,9
4,3,3,3,2,3.7260074263764253,7,5
5,3,2,2,1,5.412172847189218,7,7
2,3,1,5,3,9.794043347829863,7,8
3,3,4,1,1,6.845135641652887,7,4
1,3,5,5,4,9.803083022998036,7,6
4,5,4,1,3,4.715324067081949,8,7
5,5,2,5,2,2.8864456433177765,8,9
2,4,1,1,3,0.1037408600325207,7,1
2,5,2,4,4,7.5800537474687495,7,9
2,5,2,2,4,9.242290730409902,7,8
2,5,3,2,1,3.928194587995786,7,10
1,2,5,3,4,6.305539425386243,7,2
5,5,3,3,5,7.725753210344727,7,5
3,5,1,2,4,5.209607650936791,7,10
4,2,4,5,4,4.441944731624342,7,4
3,4,1,2,3,2.590111620468032,7,5
4,3,3,5,3,4.956417728031934,7,7
5,1,5,5,1,6.388441774086208,7,3
5,1,3,3,2,1.8364478670172946,7,8
1,5,3,4,4,9.039258877936136,7,8
3,4,1,1,5,3.0215219347688294,7,8
1,3,3,3,3,6.348661665545517,7,4
2,2,1,3,3,3.3036758399280752,7,1
4,3,3,2,5,2.2168597686416303,7,8
3,5,5,2,1,3.593013442784466,7,9
5,3,1,4,1,8.55442059380293,7,8
5,3,5,1,3,9.739197840438067,7,9
4,3,2,5,2,2.076573967994906,7,6
3,5,5,2,1,7.011788318366769,7,2
1,2,5,2,1,2.6010801105705204,7,8
2,3,4,5,2,5.331329250813227,7,4
1,4,2,2,2,0.37177105948644984,7,6
4,2,4,2,1,8.396067752251055,7,1
1,1,1,4,4,4.140220942318134,7,9
2,2,2,2,5,8.745481555845666,7,4
5,4,1,2,2,1.4854436919928715,7,4
1,3,1,1,5,0.9203683480467961,7,3
3,3,3,4,1,9.371172637425433,7,2
1,1,2,1,1,2.2522613745038935,7,3
3,1,2,4,2,2.7001482497388816,7,4
1,5,3,1,2,2.080325430899963,7,8
3,4,2,5,1,6.447766809153782,7,8
4,2,2,1,4,6.409996088099287,7,7
5,4,4,5,2,7.522553668834765,7,7
1,4,2,4,2,0.7256215443690439,7,1
2,3,3,3,1,6.502035277573592,7,4
4,1,1,1,1,8.515510742110449,7,9
3,1,2,2,1,2.04744715861066,7,5
5,2,4,5,2,3.6576009478335294,7,1
5,4,3,5,3,8.442935807297111,7,8
2,3,5,3,4,8.703885153286642,7,6
4,4,2,2,5,0.9451524228261421,7,5
2,2,3,4,1,0.7226698946095633,7,8
5,5,5,1,5,2.4415130278641026,7,3
4,1,4,5,2,6.640391426435137,7,9
1,4,5,1,3,3.9148964204356487,7,1
3,4,2,1,5,8.033850667546165,7,5
1,5,4,4,4,3.26098832625041,7,1
2,5,1,1,1,0.14169468860979806,7,2
3,4,2,1,2,2.144471955220376,7,8
3,4,4,2,2,0.5610956963174452,7,10
5,3,4,5,1,3.352927879088794,7,3
3,2,3,1,2,5.3576760802179955,7,5
4,1,4,2,1,1.0292854022523823,7,10
1,5,4,4,5,4.274729002936413,7,8
1,5,4,1,4,9.680816686496968,7,10
3,5,5,3,4,3.4828479213160723,7,4
5,1,5,5,4,3.269523401529791,7,7
1,4,4,3,3,1.3187499095686461,7,6
2,3,4,5,3,6.078831612600538,7,1
1,2,1,1,3,2.8866635607608693,7,2
4,3,5,2,5,8.829524361682674,7,9
5,4,4,2,5,1.808480566644658,7,2
4,4,2,2,1,4.124067264092871,7,7
1,3,5,3,1,9.590371002930352,7,8
3,5,1,3,4,1.549509756494114,7,5
5,5,1,2,3,8.194010680718113,7,1
5,4,2,2,5,1.7671520357082338,7,7
