Serial No.,Student ID,Credits,CGPA,Course Difficulty,PASS/FAIL
1,1,1,2,2.5,1
2,2,4,2,5.5,0
3,3,1,5,1.0,1
4,4,2,3,-1.0,1
5,5,3,0,3.0,0
6,6,4,7,5.5,0
7,7,1,2,2.5,0
8,8,4,5,2.5,1
9,9,4,7,5.5,0
10,10,1,0,-0.5,1
11,11,5,10,6.5,1
12,12,3,8,4.5,1
13,13,4,6,7.0,0
14,14,1,5,1.0,1
15,15,3,2,0.0,1
16,16,4,8,2.5,1
17,17,4,1,4.0,0
18,18,1,0,4.0,0
19,19,1,3,-2.0,1
20,20,1,9,2.5,1
21,21,2,5,-1.0,1
22,22,3,9,4.5,1
23,23,5,10,5.0,1
24,24,1,1,1.0,0
25,25,2,9,2.0,1
26,26,3,9,3.0,1
27,27,3,9,4.5,1
28,28,5,9,2.0,1
29,29,1,9,1.0,1
30,30,4,2,4.0,0
31,31,3,7,6.0,0
32,32,3,4,1.5,1
33,33,1,8,-0.5,1
34,34,3,9,3.0,1
35,35,2,6,0.5,1
36,36,3,8,1.5,1
37,37,4,1,7.0,0
38,38,1,1,1.0,0
39,39,5,4,3.5,1
40,40,3,1,4.5,0
41,41,3,9,4.5,1
42,42,4,3,2.5,1
43,43,5,7,6.5,0
44,44,3,8,4.5,0
45,45,5,6,5.0,0
46,46,5,5,5.0,0
47,47,4,0,7.0,0
48,48,3,2,0.0,1
49,49,2,4,2.0,1
50,50,5,9,6.5,0
51,51,4,10,5.5,1
52,52,2,0,0.5,1
53,53,2,3,2.0,1
54,54,5,0,5.0,0
55,55,3,2,4.5,0
56,56,4,1,4.0,0
57,57,4,8,7.0,0
58,58,1,7,-0.5,1
59,59,4,6,4.0,0
60,60,2,5,2.0,1
61,61,3,1,3.0,0
62,62,2,3,-1.0,1
63,63,3,3,4.5,0
64,64,5,1,8.0,0
65,65,1,1,1.0,1
66,66,2,10,2.0,1
67,67,3,4,3.0,0
68,68,4,2,2.5,0
69,69,3,0,1.5,0
70,70,1,6,1.0,1
71,71,2,2,0.5,1
72,72,4,9,4.0,1
73,73,5,10,5.0,1
74,74,3,0,6.0,0
75,75,2,6,-1.0,1
76,76,3,4,3.0,0
77,77,5,3,5.0,0
78,78,3,1,3.0,0
79,79,5,0,6.5,0
80,80,2,6,5.0,0
81,81,5,0,5.0,0
82,82,5,3,5.0,0
83,83,5,2,8.0,0
84,84,2,4,2.0,1
85,85,1,7,1.0,1
86,86,2,6,5.0,0
87,87,2,7,2.0,1
88,88,2,6,0.5,1
89,89,3,0,6.0,0
90,90,1,5,-2.0,1
91,91,1,9,2.5,1
92,92,4,1,1.0,0
